college,department,number,course,description
CAS, Anthropology,"139: Human Infancy: Evolutionary, Cross-Cultural, and Neurobiological Perspectives",,"This course will begin with an understanding of who the human infant is, biologically speaking. Anthropologists have argued that current concepts and notions about what infants need to develop more optimally are not only wrong but potentially deleterious. Instead, scholars and public health officials must construct reasonable models of what infant and child care practices should look like, in order to accommodate what human infants 'expect' to experience biologically. The course will consider evidence from interdisciplinary sources, methods, and theories. These include but are not limited to cross-cultural studies of infant care practices from across the globe, neurobiological studies, cross-species studies of infant care among non-human primates, and current human evolutionary models.(5 units)"
CAS, Anthropology,140," Food, Culture, and the Environment","Exploration of the history and impact that food choices have made on human societies and the environment. Several foods that are staples in the world today, such as sugar, pepper, and various grains, have significantly affected the environment, patterns of land use, economies (both local and global), cuisine, and the meaning of meals and food sharing. Class topics illustrate the regional and historical impacts of plant and animal domestication, the industrial revolution, and industrial agriculture on people and the environment.  Case studies highlight the cultural significance of foods, food choices, and agricultural economies. Also listed as ENVS 136. (5 units)"
CAS, Anthropology,142, Environmental Archaeology,"How archaeologists use environmental data to understand past human societies. Discussion topics include issues of human evolution, complexity, symbolism, social interaction, and technology. Discussion of the data and arguments offered for the role of environments in creating and shaping cultures—how environments and people shape each other. (5 units)"
CAS, Anthropology,143," Warriors, Wives, and Women: Gender in Archaeology","From passive wives to wild warriors, this course interrogates the role of women (and men) in the past. At the center of our discussions will be the variation in gender experiences across time and space. Through archaeological case studies from the United States and across the world, we will explore how religion, class, orientation, and ethnicity impact the lived experience of gender. The course focuses on the diversity of approaches to gender and gender roles in Native American cultures, including adaptation and resistance to colonial power structures. (5 units)"
CAS, Anthropology,145, Historical Ecology,"Historical ecology investigates the long-term relationships between cultures and their environments. In this class, these relationships are viewed through the lens of technologies. In addition to examining case studies from around the world, students will integrate various types of historical and scientific data including archival documents, maps, and land use information, to learn how to reconstruct the historical ecology of the Santa Clara Valley. Also listed as ENVS 137. (5 units)"
CAS, Anthropology,146, Anthropological Perspectives on Colonial California,"Examines the Spanish and Russian colonization of California, with particular emphasis on their interactions with Native American societies. Ethnohistorical, documentary, and archaeological evidence will be used to explore European and Native American experiences in colonial California and the impact of European colonialism on communities today. (5 units)"
CAS, Anthropology,147, Archaeology: From Farm to City,"The world and people have changed radically in the last 10,000 years with the domestication of plants and animals and the development of cities and states. We examine archaeological evidence in different regions of the world (after 12000 BCE) to understand how and why these transformations occurred. (5 units)"
CAS, Anthropology,148, Historical Archaeology,"Introduction to the discipline of historical archaeology focusing particularly on colonial and U.S. contexts. Explores the history of underrepresented groups, from women and children to slaves, and colonial or contact interactions. A wide range of data sources used by historical archaeologists to aid in interpreting the past are explored. (5 units)"
CAS, Anthropology,149," Virtual Santa Clara, History & Culture",Examination of public archaeology and museum studies in the digital age. Research on the cultural history of the SCU campus and the creation of content for online exhibits—a “virtual museum”—focusing on Santa Clara’s unique cultural heritage. (5 units)
CAS, Anthropology,150, Religion in Culture and Society,"This course examines a wide range of religious beliefs, symbols, and practices that humans use to bring order and meaning into their existence. It explores theoretical interpretations of religion, the universality of myths and rituals, and the manner in which religious traditions are integrated into the fabric of daily lives and into international politics. (5 units)"
CAS, Anthropology,152, Power and Society,"Cross-cultural examination of political behavior in a range of human societies and the effects of social, cultural, and environmental factors on political organization. Religion and politics, the role of women in politics, ethnic competition, secret societies, political ritual and ceremony, and the effects of colonialism and economic change. Special emphasis on the relationship between local communities and national governments. (5 units)"
CAS, Anthropology,153, Anthropology of Music,"An intellectual history of ethnomusicology. Approaches and theories from anthropology, musicology, folklore, religious studies, linguistics, critical theory, and gender studies will be explored in order to interrogate music’s relationship to culture, power, and practice. Also listed as MUSC 130. (5 units)"
CAS, Anthropology,154, Environmental Anthropology,"Survey of the theories and methods used to examine the complex and dynamic interactions between humans and their physical environment (past and present). An emphasis is placed on the relationships between human cultural systems and ecological contexts by focusing on how humans use and transform ecosystems and how such interactions shape social, political, and economic institutions. Topics include political ecology, environmental justice, ecotourism, and natural resource exploration. (5 units)"
CAS, Anthropology,155, Anthropology of Conflict and Violence,"Examines sources and responses to conflict in varied social and cultural contexts. Emphasis on application of negotiation, mediation, and arbitration in different fields. (5 units)"
CAS, Anthropology,157," Family, Kin, and Culture","Examines the ways in which kinship and family life can be organized; causes and consequences of different family patterns; and how families differ across cultures, over time, and among different groups in the United States. Also listed as WGST 155. (5 units)"
CAS, Anthropology,158, Applied Anthropology,"Application of anthropological knowledge to contemporary human problems. Topics range from the introduction of new forms of economy through international development to anthropologists’ work in refugee resettlement, environmental conservation, public health, social justice movements, and others. Also examined are the ethical dilemmas that emerge from applying anthropological techniques and data. (5 units)"
CAS, Anthropology,160," The Global Coast: Adaptation, Risk, and Resilience on the Edge of the Sea","This course uses anthropological perspectives to explore humanity’s histories and challenges on the world’s coasts. Using a range of literature from the social and natural sciences, this course examines issues ranging from coastal urbanization, climate change risk and adaptation, coastal conservation, and pollution. Beginning with an overview of humanity’s relationship with and adaptation to the global coast, this class focuses on contemporary problems that coastal communities face around the world (e.g., sea level rise adaptation). Students will use both quantitative and qualitative frameworks to assess human-coastal relationships, with an eye toward addressing contemporary problems and global challenges. (5 units)"
CAS, Anthropology,170," Women, Gender, and Sexuality","Cross-cultural examination of the roles, statuses, sexuality, and gender constructions of females and males through monographs, films, and guest speakers. Exploration of factors affecting the lives of women and men, such as domestic and public realms of activities, contested identities, political and economic factors, social change, religion, family, and socialization. Also listed as WGST 144. (5 units)"
CAS, Anthropology,172, Anthropology of Aging,"Examination of aging and the elderly in a range of human societies. Emphasis on social change, gender, and social and geographic mobility, as well as social, political, and cultural differences in understanding how the elderly adapt to, and cope with, the modern world. (5 units)"
CAS, Anthropology,173," Roman Studies: Rocks, Coins, and Pots","This course provides an introduction to the study of the Roman world, with emphasis on the use of quantitative and qualitative research methods. Students will be introduced to the disciplines of archaeology, numismatics, epigraphy, and ceramic studies, and within these disciplines will examine and compare different methods of evaluating ancient evidence and data sets. Through utilizing different types of evidence and modes of analysis, this course introduces students to the society, culture, history, and economy of the Roman world from the Iron Age to Late Antiquity. Also listed as CLAS 172 and HIST 107. (5 units)"
CAS, Anthropology,180, Study of Selected Cultures,"Examination of the social life, culture, and institutions of geographic areas and culture zones not otherwise covered in ANTH 181–188 regional studies course series. (5 units)"
CAS, Anthropology,185," Anthropologies of Latin America: Culture, Politics, and Power","An overview of the processes of social-cultural, economic, and political change in Latin America from an anthropological perspective. Students will study how the histories and legacies of conquest and colonialism continue to impact contemporary peoples. Furthermore, this course examines the intersections of race, class, gender, and ethnicity in the Americas with attention to how colonial era institutions and logics shaped these categories and experiences. Attention is placed on issues of power and inequality. (5 units)"
CAS, Anthropology,186, Mesoamerican Archaeology,"This course examines the archaeological sites and ancient cultures of Mexico and Central America, from the earliest evidence of human activity to the recent past. Topics include developments in food systems, trade, daily life, social organization, worldview, and written and oral histories. More and less well-studied societies will be addressed, including but not limited to those referred to as Olmec, Maya, Teotihuacáno, Zapotec, Toltec, Aztec, and Lenca. (5 units)"
CAS, Anthropology,188, Middle East: Culture and Change,"Examination of people’s lives, social organization, and change in the Middle East through archaeological evidence, ethnographies, film, and novels. Emphasis on political culture, the fate of tribal peoples and peasants under modernizing nations, women in society and gender symbolism, contact with the West, Islam and religious resurgence, and revolution. (5 units)"
CAS, Anthropology,189, First Americans: US Archaeology,"What do we know about the indigenous inhabitants of the North American continent before European and Euro-American conquest and occupation? This course will examine the politics and archaeological practicalities of answering this question. Students will be introduced to the deep history and great diversity of Native societies across North America, from debates about the timing, means, and meaning of the first Americans to the varied and complex forms of Native American political organizations before and during the founding of the United States of America. (5 units)"
CAS, Anthropology,190, Advanced Seminar in Anthropology,Seminars for juniors and seniors on selected topics in anthropology. By permission of the instructor only. (5 units)
CAS, Anthropology,194, Peer Educator in Anthropology,"Peer educators in anthropology work closely with a faculty member to help students understand course material, think more deeply about course material, benefit from collaborative learning, feel less anxious about testing situations, and/or help students enjoy learning. By permission of the instructor only. (1–2 units)"
CAS, Anthropology,195, Field Course in Anthropological Methods,On-site anthropological field research in any of the subfields of anthropology. Practical experience in the basic techniques of observation and field analyses. By permission of the chair and instructor only. (5 units)
CAS, Anthropology,197, Field Course in Primate Behavioral Ecology,"On-site anthropological primatological field research with practical experience in the basic techniques of observation and field data analysis. Special attention to community ecology, proposal writing, data collection, data analysis, and presentation. Students conduct independent data collection to produce a completed scientific paper for which they are the sole author. (5 units)"
CAS, Anthropology,198, Anthropology Proseminar,"Opportunity for students to work and conduct anthropological analyses in community agencies, museums, government agencies, and political or industrial organizations. May be repeated for credit with approval of the chair. Required for majors in anthropology. Students must receive approval from their advisor prior to registration. Internship placements must be completed prior to fall quarter of senior year. Field schools and other research experiences may substitute for internship placements with approval. Students must enroll in the internship class during the fall of their junior or senior year. (5 units)"
CAS, Anthropology,199, Directed Reading/Directed Research,Intensive reading in areas not emphasized by the department. Independent research on specific topics not fully covered in departmental courses. May be repeated for credit with approval of the chair. Written departmental approval necessary prior to registration. (5 units)
CAS, Art  and  Art  History,11A, and 12A Cultures & Ideas I and II,"A two-course sequence focusing on a major theme in human experience and culture over a significant period of time. Courses emphasize either broad global interconnections or the construction of Western culture in its global context. Courses may address China on the Silk Roads, Venice: Crossroads of the World, and other topics. Successful completion of ARTH 11A C&I I is a prerequisite for ARTH 12A C&I II. Only ARTH 12A/H fulfills the Arts Management minor requirement. (4 units each quarter)"
CAS, Art  and  Art  History,21," Sport, Spectacle, and Spirituality: A Survey of Mediterranean Culture from Antiquity to the Middle Ages","A foundation course for the art history program focusing on visual analysis and the ancient and medieval world. Topics may include the relationship between Greek art and politics, Imperial Roman art, propaganda, Pompeian wall painting, early Christian art, the origins of Islam, and the function and culture of pilgrimage in the Middle Ages. Not open to students who have taken Art, Power, and Propaganda. Also listed as CLAS 52. (4 units)"
CAS, Art  and  Art  History,22, Reframing the Renaissance: A Survey of Early Modern Visual Culture,"This survey course focuses on the construction and representation of identity in European visual culture from approximately 1348 to 1648. This examination of Renaissance art, especially painting, offers insights into changing ideas about the body, race, gender, and geography as manifested in the works of luminaries such as Michelangelo, Raphael, Dürer, and Caravaggio. Our inquiry into early modern European art will focus on depictions of identity and difference and will be accompanied by contemporary scholarship on race, gender, religion, and class. Fulfills the Arts Management minor requirement. (4 units)"
CAS, Art  and  Art  History,23," Art and Revolution: Europe and the United States, 18th–20th Centuries","Introduction to the visual culture of modern Europe and the United States from Louis XIV to the present. Explore the origins of modern art through political, technological, and artistic revolutions, from royal patronage to Pop, Neoclassicism to Neo-dada, as well as Impressionism, Surrealism, and Abstract Expressionism. Fulfills the Studio Art program modern or contemporary emphasis course requirement and the Arts Management minor requirement Not open to students who have taken Art, Trade, and Cultural Exchange (ARTH 11A). (4 units)"
CAS, Art  and  Art  History,24, From Damascus to Dubai: A Survey of the Visual Culture of the Middle East,"From the majesty of the Dome of the Rock in Jerusalem to the awe-inspiring heights of the Abu Dubai skyline, few regions boast a history of ambitious art and architecture as long, and as impressive, as the Middle East. Yet, this region is likewise one of the most misunderstood. This survey course focuses on the rich and diverse visual culture of the region from the 7th century CE to the present day. Topics for discussion include early mosque architecture, scientific developments in medieval Baghdad, the rise of the Ottoman Empire, the garden city of Isfahan, European colonialism in North Africa, and contemporary art and architecture. Fulfills the Studio Art program global emphasis course requirement. (4 units)"
CAS, Art  and  Art  History,25, Indigenous Visions: Introduction to the Arts of the Americas,"Introduction to the indigenous arts and architecture of North, South, and Central America from prehistory to the present including the Olmec, Aztec, Inca, Native American Great Plains, and Southwest. Themes include indigenous concepts of time and space; the vision quest; warfare and blood sacrifice; art and the sacred. Lecture and discussion, plus a visit to a local museum. Fulfills the Studio Art program global emphasis course requirement. (4 units)"
CAS, Art  and  Art  History,26, Art! Making China Modern ,"On the long march from dynastic regime to global power, art made China modern on its own terms. In the 19th century writers, politicians, and revolutionaries looked to Japan and Europe to learn how art could renovate the nation. After WWI, leftists weaponized woodcuts and folk arts to combat the forces of Japan and the U.S.-backed Nationalists. At the dawn of the People’s Republic, art reorganized society and fueled radical conformity. As China globalized, artists cashed in on burgeoning markets, grappled with legacies, sounded alarms about oppression, and questioned “The Chinese Dream.” Fulfills the Studio Art program global emphasis course requirement and the Arts Management minor requirement. (4 units) "
CAS, Art  and  Art  History,28, Modern Indian Art,"This course will take you through a survey of modern Indian art from the 19th to the 20th centuries. We will see how Indian artists engaged with and responded to modernity and the modernisms they encountered in the global art world, while working through late-colonial, post-independence, and contemporary Indian contexts. Early modern artists of the Bengal School of art grappled with the question of how to be modern and Indian in their search for an Indian-ness devoid of Western elements, while post-independence artists of the Progressive Artists Group could freely work with both Western modernism and Indian idioms toward self-expression. We will see how this trajectory moves into contemporary art and contextualizes feminism by reading about the works of women artists from varied backgrounds. Fulfills the Studio Art program global emphasis course requirement. Formerly ARTH 81. Not open to students who have taken ARTH 81. (4 units)"
CAS, Art  and  Art  History,66, Fabricating Nature in East Asia,"Across East Asia, artists and designers have fabricated landscapes to marshal natural forces for human-centered purposes. In China, visualizing Confucian and Daoist principles through paintings and gardens ordered society and cultivated individuals. In Korea, artists interpreted imported religions and philosophies through indigenous beliefs, giving birth to True View painting and seowon rural campuses. Japan’s native Shintō steered Buddhism in new directions, culminating in Zen and roji tea gardens. Today, these religions, philosophies, aesthetics, and practices remain vigorous, exerting themselves in art and landscape design worldwide, offering solutions to environmental challenges, and alternatives to the isolation of modern life. Fulfills the Studio Art program global emphasis course requirement. Also listed as RSOC 66. (4 units) "
CAS, Art  and  Art  History,97, Special Topics,Occasional courses in selected art historical topics. May be repeated for credit. (4 units)
CAS, Art  and  Art  History,98, Internship/Practicum,"Individual projects in conjunction with professional visual arts agencies. May be repeated for credit but no more than 4 units may count toward the major or minor. Prerequisite: Written proposal must be approved by on-site supervisor, art history faculty member, and department chair. (2–4 units)"
CAS, Art  and  Art  History,100, Art History Proseminar,"“What is the history of art history? What does it mean to think like an art historian?” To answer these questions, we will examine the origins of the discipline and its current methodologies. Close textual analysis with writing and discussion. Required of all art history majors, preferably at the end of sophomore year. Prerequisites: Two art history courses, one of which must be upper-division, or permission of instructor. (5 units)"
CAS, Art  and  Art  History,104, Greek Art and Architecture,"Examination of Greek art from the Archaic through the Hellenistic periods. Developments in architecture, sculpture, vase painting, and wall painting will be addressed in their cultural context. Cross-listed as CLAS 116. (5 units)"
CAS, Art  and  Art  History,106, Art and Architecture of the Roman Republic and the Early Empire,"Chronological survey of artistic development in Republican and Imperial Rome. Related issues include the influence of Greek and Etruscan art, the relationship between political ideology and public art programs, and the impact of improved materials on building design. Cross-listed as CLAS 117. (5 units)"
CAS, Art  and  Art  History,114," From Catacombs to Crusade: European Visual Culture, 350-1350","Topics discussed in their respective political, intellectual, and cultural contexts may include Christian art and architecture from the catacombs in Rome through the early 14th century in Byzantium; art and architecture in Western Europe from the early Middle Ages to circa AD 1300; Hiberno-Saxon, Carolingian, and Ottonian art; classical and religious codices; manuscript illumination from the Anglo-Saxon, Carolingian, Ottonian, Romanesque, Gothic, or Byzantine eras. (5 units)"
CAS, Art  and  Art  History,120, Keeping up with the Medici: Fame and Family in Renaissance Florence,"What makes someone a “household name”? Is it talent, beauty, connections, or simply shrewd marketing? While fame, fortune, and celebrity may seem like modern phenomena, the cult of personality was equally prominent in Renaissance Florence. As is the case today, money played a key role in the arts. This course focuses on the ways in which the Medici family, through their social, financial, and spiritual support, transformed the city of Florence from an Italian commune with limited natural resources into the center of European culture. And in doing so, transformed the notion of the artist from that of mere craftsman to superstar. Additional topics of discussion include the influence of the capitalist economies on artistic production, domestic art, perceptions of the nude figure in religious paintings, the relationship between art and science, and the writings of Machiavelli. Fulfills the departmental Advanced Writing requirement. Cross-listed as HIST 125. (5 units)"
CAS, Art  and  Art  History,121, Women Artists of Venice,"This course examines the substantial, and too often overlooked careers and contributions of women artists in early modern Venice. Surveying the period from approximately 1400-1750. Topics for consideration include artistic training for women, challenges encountered by women in the artistic workplace, and a consideration of the exclusion of women from the art historical canon.  Fulfills the departmental Advanced Writing requirement and the Arts Management minor requirement. (5 units)"
CAS, Art  and  Art  History,123, The Global Renaissance,"The “Renaissance” has traditionally been viewed as a period of artistic and cultural development associated almost exclusively with the Italian peninsula in the 15th and 16th century. This same tradition privileges “high art”—that is, painting, sculpture, and architecture—over other forms of visual culture. This course seeks to reassess these notions by considering Italian Renaissance art within the context of early modern globalism. This reexamination likewise mandates a consideration of a broader spectrum of objects, including gemstones, glassware, and textiles. Topics such as the relationship between Michelangelo, Leonardo, and the Ottoman architect Sinan, the collection of Aztec feather paintings by the Medici family, and the influence of Egyptian mosque architecture on Venetian palace design will be examined from an interdisciplinary perspective. Fulfills the departmental Advanced Writing requirement. (5 units)"
CAS, Art  and  Art  History,135, European Art: 1780–1940,"Analysis of the culture and art of Europe from the era of the French Revolution to World War II. This course will address the relationship between politics and art, shifting class structures, and the increasing importance of the industrial revolution. Painting, sculpture, architecture, photography, and other media will be covered. (5 units)"
CAS, Art  and  Art  History,140, Photography in the United States,"We live in a world densely populated by photographs; how did that come about and what purposes has photography served in the U.S.? We will examine the social, political, and aesthetic aspects of American photography from its inception in the 1830s to the present. Close readings of objects yield insights into the creation and growth of popular and elite audiences for photography; journalistic, ethnographic, and documentary photography; photography as an artistic medium; the role of photography in discourses of race, gender, class and nationalism; and photography in relation to modernism, postmodernism, and consumer culture. Fulfills the Studio Art program modern or contemporary emphasis course requirement. Prerequisite: completion of CTW2 or permission of instructor. (5 units)"
CAS, Art  and  Art  History,143, Women’s Work: American Women in the Visual Arts,"From colonial times to the ongoing feminist revolution of the present, American women made, sold, collected, and supported visual art, and in so doing profoundly influenced the development of the nation’s culture, art, and art institutions. Students will learn about the roles of American women in the visual arts and the active interplay between issues embedded in art and in “craft”; women’s self-fashioning and the art market; images of women; and the impact of women’s studies and feminism on the study of the visual arts. Close readings of images and objects spanning traditional and nontraditional media such as painting, sculpture, photography, embroidery, and quilting produce insights into the dynamic relationships between gender and art, culture, and commerce in American history. Fulfills the Studio Art program modern or contemporary emphasis course requirement. Also listed as WGST 156. Prerequisite: completion of CTW2 and Sophomore status or permission of instructor. (5 units)"
CAS, Art  and  Art  History,144," Race, Gender, and Nation in 18th- and 19th-Century American Art and Visual Culture","What did visual and material arts from the Colonial period to the Gilded Age (1880s) look like and how did they function in colonial society and help to shape a new, fast-growing nation? Close readings of objects illuminate the relationships between art, gender, and race; self-fashioning and social identity in portraiture; the “West as America”; American national identity at home and abroad; landscape painting; photography; representations of democracy, politics, and citizenship; representations of the Revolutionary and Civil Wars; collectors and the creation of art institutions; and an audience and market for art in the United States. Fulfills the Studio Art program modern or contemporary emphasis course requirement. Prerequisite: completion of CTW2 or permission of instructor. (5 units)"
CAS, Art  and  Art  History,145, Art in the 20th Century US,"The 20th century was a period of turmoil and growing international stature for the United States and its art. How did artists deal with these events including two World Wars; the Great Depression, the growth of labor unions, the Civil Rights Movement, feminist reforms, etc.; and the encounter with European modernist art? How were these events in turn shaped by art and visual culture? Close readings of objects illuminate the relationship of American modern art to European modernism; race and gender in American society, politics, and American national identity; patrons and dealers, including those of the Harlem Renaissance; the government as a patron for the visual arts; and the founding of major visual arts institutions and the solidifying of an art audience in the United States. Fulfills the Studio Art program modern or contemporary emphasis course requirement and the Arts Management minor requirement. Prerequisite: completion of CTW2 or permission of instructor. (5 units)"
CAS, Art  and  Art  History,146, African American Art,"A survey of African-American art from the 18th to the 21st century. With an emphasis on case studies and movements throughout this history, this course explores how Black artists in the United States have engaged with key issues such as race, gender, sexuality, class, and ethnicity. The course is designed to expose students to complex debates about representation and the role of race and identity in American art. Fulfills the Studio Art program modern or contemporary emphasis course requirement. Also listed as ETHN 132A. (5 units). "
CAS, Art  and  Art  History,147, American Art: Special Topics ,"Sustained analysis of a particular period, genre, or issue in American Art: e.g., landscape painting, Harlem Renaissance, art market and art dealers, social realism, material culture, etc. (5 units)"
CAS, Art  and  Art  History,152, Arts of Ancient Mexico: From Olmec to Aztec,"Survey of the arts of the Mesoamerican region, from 1500 BCE to the conquest of 1521 CE. Focus on Mesoamerican concepts of time and space, the ritual calendar, warfare, blood sacrifice, shamanism, and the ballgame. Fulfills the Studio Art program global emphasis course requirement. Formerly ARTH 151. (5 units)"
CAS, Art  and  Art  History,153, Tradition and Change in Native American Art: California and the Pacific Northwest,"Visual culture of the native peoples of California and the Pacific Northwest, from prehistory to the present. Emphasis on the role of the artist in society and on artistic responses to political and cultural change. Topics include arts of status, shamanism, World Renewal, missions, tourism, and the rise of the art market. Formerly ARTH 141. Not open to students who have taken ARTH 141. (5 units)"
CAS, Art  and  Art  History,154, Native American Art: Special Topics,"Sustained analysis of a specific time period or genre of Native American art. Emphasis on 20th-century/contemporary art. Topics may include tourism/market forces, land and cultural preservation, postcolonialism, and gender identity. Research paper will be required. Formerly ARTH 142. Not open to students who have taken ARTH 142. (5 units)"
